geneid,BPcum,genesymbol,type,TWAS.Z,TWAS.P
ENSG00000157978.11,25556234,LDLRAP1,aoi,-1.344,0.178948
ENSG00000162430.16,25809200,SEPN1,aoi,0.84371,0.398829
ENSG00000117640.17,25825792,MTFR1L,aoi,0.73633,0.461531
ENSG00000182749.5,25866232,PAQR7,aoi,-0.48808,0.625496
ENSG00000229786.1,25887486,SNRPFP2,aoi,-0.47703,0.63334
ENSG00000158006.13,25978962,PAFAH2,aoi,-0.80716,0.419572
ENSG00000197245.5,26161492,FAM110D,aoi,0.71006,0.477668
ENSG00000142684.8,26170372,ZNF593,aoi,0.70371,0.481615
ENSG00000142675.17,26183645,CNKSR1,aoi,-1.01483,0.310188
ENSG00000236155.6,26219791,RP11-231P20.2,aoi,0.77597,0.43777
ENSG00000158062.20,26299846,UBXN11,aoi,-0.48565,0.627216
ENSG00000225891.1,26465020,RP3-476K8.3,aoi,-0.51719,0.60502
ENSG00000243905.3,26593395,RN7SL679P,aoi,-1.15354,0.248688
ENSG00000252429.2,26602401,RNU7-29P,aoi,1.12583,0.260237
ENSG00000175793.11,26863798,SFN,aoi,0.313,0.754279
ENSG00000198746.12,26895478,GPATCH3,aoi,0.13704,0.891002
ENSG00000090020.10,27132898,SLC9A1,aoi,-0.17345,0.8623
ENSG00000225990.2,27211375,SNRPEP7,aoi,1.22365,0.221086
ENSG00000237429.1,27528184,RP1-159A19.4,aoi,0.83151,0.405684
ENSG00000000938.12,27623671,FGR,aoi,1.302,0.192916
ENSG00000206767.1,27675656,RNU6-949P,aoi,0.323,0.746695
ENSG00000231344.1,27739266,RP3-426I6.2,aoi,0.45222,0.651108
ENSG00000269971.1,27773950,RP3-426I6.5,aoi,-2.4084,0.016023
ENSG00000228589.3,28096082,SPCS2P4,aoi,1.44306,0.149002
ENSG00000214812.3,28120886,RP5-1053E7.3,aoi,1.30451,0.19206
ENSG00000253005.1,28142790,RNU6-176P,aoi,0.93502,0.349776
ENSG00000270605.1,28240482,RP5-1092A3.4,aoi,-2.50023,0.012411
ENSG00000130770.17,28241508,ATPIF1,aoi,-2.653,0.007978
ENSG00000130772.13,28332485,MED18,aoi,-2.42869,0.015153
ENSG00000204138.12,28434976,PHACTR4,aoi,-0.9,0.36812
ENSG00000221216.1,28481422,RNU6ATAC27P,aoi,-1.103,0.270027
ENSG00000200087.1,28508661,SNORA73B,aoi,1.37765,0.168311
ENSG00000279443.1,28545502,RP4-669K10.8,aoi,1.07731,0.28134
ENSG00000116350.16,29164866,SRSF4,aoi,-0.698,0.485177
ENSG00000162510.5,30717432,MATN1,aoi,-0.33376,0.738559
ENSG00000084628.9,31209650,NKAIN1,aoi,-2.583,0.009795
ENSG00000229044.1,31339934,RP11-266K22.2,aoi,-2.73076,0.006319
ENSG00000206981.1,31497630,RNU6-40P,aoi,1.58962,0.11192
ENSG00000162517.12,31637380,PEF1,aoi,-0.863,0.388137
ENSG00000084636.17,31678284,COL16A1,aoi,0.72158,0.47055
ENSG00000025800.13,32142304,KPNA6,aoi,-1.51284,0.13032
ENSG00000084623.11,32226766,EIF3I,aoi,3.441,0.00058
ENSG00000277617.1,32269468,Metazoa_SRP,aoi,-2.03656,0.041694
ENSG00000175130.6,32335106,MARCKSL1,aoi,-0.25056,0.802152
ENSG00000273274.1,32480878,ZBTB8B,aoi,1.067,0.285972
ENSG00000121900.18,32898016,TMEM54,aoi,-0.68521,0.493214
ENSG00000116514.16,32950566,RNF19B,aoi,-1.20478,0.228288
ENSG00000004455.16,33044468,AK2,aoi,-0.583,0.559893
ENSG00000278997.1,33142551,RP11-131M11.2,aoi,-0.7508,0.452776
ENSG00000270115.1,33261446,RP11-415J8.7,aoi,1.14513,0.252157
ENSG00000160094.14,33278632,ZNF362,aoi,1.065,0.286876
ENSG00000184389.9,33313932,A3GALT2,aoi,-0.58763,0.556783
ENSG00000134686.17,33377338,PHC2,aoi,1.7808,0.074945
ENSG00000121904.17,33839921,CSMD2,aoi,1.36448,0.172417
ENSG00000270241.1,34277076,RP4-657M3.2,aoi,-0.58238,0.560308
ENSG00000163866.8,34786277,SMIM12,aoi,0.0862,0.931307
ENSG00000187513.8,34794373,GJA4,aoi,2.22033,0.026396
ENSG00000233940.1,35056370,RPL12P45,aoi,2.42982,0.015106
ENSG00000116560.10,35184764,SFPQ,aoi,1.20019,0.230067
ENSG00000278702.1,35400158,Metazoa_SRP,aoi,-0.651,0.515046
ENSG00000142687.17,35495720,KIAA0319L,aoi,-0.96901,0.332539
ENSG00000116819.6,35584350,TFAP2E,aoi,0.53683,0.591388
ENSG00000126067.11,35620694,PSMB2,aoi,-1.22798,0.219456
ENSG00000142686.7,35716674,C1orf216,aoi,1.82829,0.067506
ENSG00000271554.1,36002870,RP4-665N4.8,aoi,1.21705,0.223586
ENSG00000232862.5,36082046,RP4-665N4.4,aoi,-1.42009,0.155581
ENSG00000054116.11,36146312,TRAPPC3,aoi,1.00793,0.31349
ENSG00000264592.2,36192043,RN7SL131P,aoi,-0.03456,0.97243
ENSG00000116885.18,36433140,OSCP1,aoi,1.19944,0.230355
ENSG00000233621.1,37464646,LINC01137,aoi,0.17125,0.86403
ENSG00000163874.9,37479466,ZC3H12A,aoi,0.986,0.324133
ENSG00000163877.9,37544376,SNIP1,aoi,-0.45838,0.646683
ENSG00000237749.4,37556374,RP3-423B22.5,aoi,0.26008,0.794799
ENSG00000163879.10,37561888,DNALI1,aoi,1.873,0.061068
ENSG00000134697.12,37581376,GNL2,aoi,-0.17335,0.862376
ENSG00000116922.14,37686910,C1orf109,aoi,-1.80044,0.07179
ENSG00000214141.4,37778044,ACTN4P2,aoi,0.15393,0.877669
ENSG00000185090.14,37797470,MANEAL,aoi,1.56691,0.117136
ENSG00000204084.12,37903878,INPP5B,aoi,-0.61075,0.541364
ENSG00000183386.9,38001188,FHL3,aoi,-0.30277,0.762064
ENSG00000215895.4,38709911,RP11-334L9.1,aoi,0.39778,0.690789
ENSG00000274944.4,38873060,RP5-864K19.6,aoi,1.36904,0.170988
ENSG00000228436.2,38889698,RP5-864K19.4,aoi,-0.8253,0.409201
ENSG00000174574.15,38998642,AKIRIN1,aoi,-0.44911,0.653351
ENSG00000168653.10,39030478,NDUFS5,aoi,0.27882,0.780382
ENSG00000183682.7,39508791,BMP8A,aoi,-1.5025,0.132968
ENSG00000182109.7,39534234,RP11-69E11.4,aoi,-0.29562,0.767519
ENSG00000090621.13,39568804,PABPC4,aoi,0.32787,0.743013
ENSG00000116981.3,39665580,NT5C1A,aoi,0.57,0.568678
ENSG00000116983.12,39685169,HPCAL4,aoi,0.257,0.797179
ENSG00000084072.16,39728048,PPIE,aoi,-0.26911,0.787844
ENSG00000116985.11,39773022,BMP8B,aoi,-0.917,0.359143
ENSG00000229213.1,39795920,RP1-118J21.24,aoi,-0.23686,0.812764
ENSG00000043514.15,39862267,TRIT1,aoi,-1.72622,0.084307
ENSG00000202222.1,39881622,Y_RNA,aoi,-0.99953,0.317539
ENSG00000236546.1,39898422,RP1-118J21.5,aoi,0.61619,0.537769
ENSG00000116990.10,39898842,MYCL,aoi,-1.62621,0.103904
ENSG00000207356.1,39944944,Y_RNA,aoi,-0.58937,0.555616
ENSG00000168389.17,39962540,MFSD2A,aoi,-1.92295,0.054487
ENSG00000131236.16,40056442,CAP1,aoi,-1.011,0.312016
ENSG00000131238.16,40085204,PPT1,aoi,-1.59057,0.111707
ENSG00000084073.8,40276146,ZMPSTE24,aoi,1.55238,0.12057
ENSG00000164002.11,40512649,EXO5,aoi,-1.5057,0.132143
ENSG00000117010.15,40539866,ZNF684,aoi,0.81772,0.413518
ENSG00000236505.1,40563597,RP1-63P18.2,aoi,-0.159,0.873669
ENSG00000233910.1,40593994,GTF2F2P2,aoi,-0.00244,0.998053
ENSG00000171790.15,41019418,SLFNL1,aoi,-0.75017,0.453153
ENSG00000230881.1,41535656,RP11-486B10.3,aoi,0.20872,0.834665
ENSG00000197273.3,42163705,GUCA2A,aoi,-1.91605,0.055358
ENSG00000186409.14,42558998,CCDC30,aoi,0.46479,0.642085
ENSG00000200254.1,42569086,RNU6-536P,aoi,-0.7675,0.442782
ENSG00000236180.2,42571180,RP11-163G10.4,aoi,-2.03028,0.042328
ENSG00000234917.2,42680198,RP5-994D16.3,aoi,1.09805,0.272185
ENSG00000228452.1,42776302,RP5-994D16.9,aoi,0.71035,0.477486
ENSG00000283580.1,42780893,RP5-994D16.12,aoi,-0.39533,0.692601
ENSG00000227533.5,42971204,SLC2A1-AS1,aoi,1.71007,0.087254
ENSG00000207256.1,42991492,RNU6-880P,aoi,0.95927,0.337423
ENSG00000277513.1,43104292,RP3-393B19.1,aoi,-0.72327,0.469512
ENSG00000186973.10,43150775,FAM183A,aoi,-0.313,0.754281
ENSG00000199240.1,43196477,RNA5SP46,aoi,0.43537,0.663292
ENSG00000243710.7,43213254,CFAP57,aoi,-2.48387,0.012996
ENSG00000117395.11,43217556,EBNA1BP2,aoi,1.994,0.046152
ENSG00000066056.13,43312051,TIE1,aoi,1.9839,0.047267
ENSG00000117399.13,43361080,CDC20,aoi,1.09891,0.271806
ENSG00000198198.14,43421266,SZT2,aoi,1.329,0.183848
ENSG00000066135.12,43677837,KDM4A,aoi,-0.36813,0.712776
ENSG00000117410.13,43976392,ATP6V0B,aoi,-0.418,0.675947
ENSG00000117411.16,43985057,B4GALT2,aoi,-0.90842,0.363657
ENSG00000230615.6,44073178,RP5-1198O20.4,aoi,0.52312,0.600891
ENSG00000178028.13,44217068,DMAP1,aoi,1.284,0.199142
ENSG00000199385.1,44390773,RNU6-369P,aoi,-1.5675,0.116997
ENSG00000198520.10,44700142,C1orf228,aoi,-0.094,0.925109
ENSG00000200169.1,44731113,RNU5D-1,aoi,0.55631,0.578001
ENSG00000142945.12,44753793,KIF2C,aoi,0.60837,0.542941
ENSG00000142959.4,44785646,BEST4,aoi,0.162,0.871306
ENSG00000173846.12,44803108,PLK3,aoi,-0.982,0.3261
ENSG00000070785.16,44918622,EIF2B3,aoi,-0.61617,0.53778
ENSG00000234315.1,45070204,OSTCP5,aoi,0.35383,0.723464
ENSG00000281912.1,45304765,LINC01144,aoi,-0.54648,0.584737
ENSG00000070759.16,45417525,TESK2,aoi,-0.52878,0.596956
ENSG00000280670.2,45496973,CCDC163P,aoi,-0.311,0.7558
ENSG00000117450.13,45517042,PRDX1,aoi,-1.15138,0.249575
ENSG00000280836.1,45581270,AL355480.1,aoi,2.78705,0.005319
ENSG00000281112.1,45592768,AL355480.2,aoi,1.58949,0.111949
ENSG00000227857.2,46136806,RP4-533D7.5,aoi,1.15443,0.248322
ENSG00000085998.13,46204494,POMGNT1,aoi,-2.966,0.003017
ENSG00000085999.11,46263081,RAD54L,aoi,-0.33746,0.735772
ENSG00000117481.10,46352665,NSUN4,aoi,0.31677,0.75142
ENSG00000225779.1,46370771,RP4-603I14.3,aoi,-1.22633,0.220076
ENSG00000117480.15,46404057,FAAH,aoi,-0.369,0.712128
ENSG00000224863.2,46448978,LINC01398,aoi,0.15804,0.874423
ENSG00000232022.7,46457312,FAAHP1,aoi,-1.98309,0.047357
ENSG00000282881.1,46532890,RP11-49P4.7,aoi,-2.54285,0.010995
ENSG00000079277.19,46587126,MKNK1,aoi,-1.6785,0.09325
ENSG00000142961.14,46612304,MOB3C,aoi,-2.24743,0.024612
ENSG00000154198.14,46871766,CYP4Z2P,aoi,-1.45488,0.145702
ENSG00000261290.1,47003072,CYP4A44P,aoi,-0.89551,0.370516
ENSG00000186377.7,47037160,CYP4X1,aoi,-0.62328,0.533098
ENSG00000162368.13,47356318,CMPK1,aoi,0.84131,0.400173
ENSG00000227947.1,47695924,RP11-543D5.1,aoi,-0.03515,0.971962
ENSG00000279214.1,48262705,RP5-1024N4.5,aoi,-0.98742,0.323435
ENSG00000229846.1,49117951,RP11-141A19.1,aoi,-0.41121,0.680921
ENSG00000225671.2,50405728,FCF1P6,aoi,-0.29699,0.766474
ENSG00000225767.1,50466310,RP5-850O15.3,aoi,-0.39872,0.690098
ENSG00000203356.2,51215096,LINC01562,aoi,0.92902,0.352879
ENSG00000252032.1,51538678,RNU6-1281P,aoi,0.257,0.797182
ENSG00000227742.1,51578382,CALR4P,aoi,-0.642,0.520873
ENSG00000078618.20,51834064,NRDC,aoi,-1.939,0.052501
ENSG00000169213.6,51949360,RAB3B,aoi,0.526,0.598888
ENSG00000229032.1,51980644,RP11-91A18.1,aoi,-1.63222,0.102632
ENSG00000236004.2,52190113,RP4-800M22.4,aoi,-1.94647,0.051599
ENSG00000154222.14,52355958,CC2D1B,aoi,-0.931,0.351854
ENSG00000134748.12,52412702,PRPF38A,aoi,-0.931,0.351854
ENSG00000134744.13,52480885,ZCCHC11,aoi,0.12251,0.902496
ENSG00000162377.5,52691409,COA7,aoi,1.4296,0.152831
ENSG00000252018.1,52754392,RNU2-30P,aoi,1.20319,0.228903
ENSG00000162378.12,52776905,ZYG11B,aoi,-0.74744,0.454798
ENSG00000203995.9,52868755,ZYG11A,aoi,-0.57837,0.563012
ENSG00000231866.2,52925336,RP4-631H13.4,aoi,1.02671,0.304557
ENSG00000116171.16,52989466,SCP2,aoi,1.26761,0.204939
ENSG00000174348.13,53073778,PODN,aoi,1.00914,0.312908
ENSG00000162383.11,53114906,SLC1A7,aoi,1.39022,0.164463
ENSG00000157184.6,53205314,CPT2,aoi,0.713,0.475846
ENSG00000236723.2,53211780,RP5-1024G6.2,aoi,-0.90038,0.367918
ENSG00000162384.13,53217358,C1orf123,aoi,1.483,0.138074
ENSG00000225675.2,53332372,RP4-784A16.5,aoi,1.20008,0.230107
ENSG00000230138.1,53367457,RP11-117D22.2,aoi,0.045,0.964107
ENSG00000058804.11,53802160,NDC1,aoi,-0.22562,0.8215
ENSG00000116212.14,53957123,LRRC42,aoi,-0.42261,0.672576
ENSG00000116205.11,54083054,TCEANC2,aoi,1.168,0.242807
ENSG00000215883.10,54184844,CYB5RL,aoi,0.26473,0.791219
ENSG00000116221.15,54204753,MRPL37,aoi,0.44335,0.657513
ENSG00000157216.15,54319456,SSBP3,aoi,0.05429,0.956704
ENSG00000237173.1,54524878,RP5-866L20.2,aoi,0.15423,0.877431
ENSG00000006555.10,54790490,TTC22,aoi,-0.8,0.423711
ENSG00000237453.1,54793896,RP11-67L3.2,aoi,-0.24332,0.807755
ENSG00000162398.11,54824158,LEXM,aoi,0.09226,0.926489
ENSG00000162402.13,55140736,USP24,aoi,0.16019,0.872734
ENSG00000265822.1,55225682,MIR4422,aoi,-0.08497,0.932284
ENSG00000272051.1,55484922,Y_RNA,aoi,-0.94961,0.34231
ENSG00000162407.8,56570024,PLPP3,aoi,-2.04521,0.040834
ENSG00000162409.10,56680329,PRKAA2,aoi,-1.27365,0.202786
ENSG00000173406.15,57770756,DAB1,aoi,1.45806,0.144823
ENSG00000162600.11,58481094,OMA1,aoi,0.58717,0.557089
ENSG00000184292.6,58576598,TACSTD2,aoi,-1.79536,0.072597
ENSG00000162601.9,58677416,MYSM1,aoi,1.2399,0.215014
ENSG00000224609.6,59170029,HSD52,aoi,-0.51929,0.603558
ENSG00000266150.1,59733262,MIR4711,aoi,1.87281,0.061095
ENSG00000265535.2,59974906,RN7SL475P,aoi,1.66204,0.096505
ENSG00000226476.3,60578104,RP11-776H12.1,aoi,0.90239,0.366849
ENSG00000240563.1,62203580,L1TD1,aoi,-0.119,0.905275
ENSG00000162607.12,62444051,USP1,aoi,-0.74297,0.457499
ENSG00000125703.14,62824824,ATG4C,aoi,0.978,0.328074
ENSG00000236674.1,63360502,RP4-792G4.3,aoi,-1.06005,0.289123
ENSG00000088035.15,63403076,ALG6,aoi,-0.19508,0.845329
ENSG00000142856.16,63517246,ITGB3BP,aoi,1.855,0.063596
ENSG00000203965.12,63548033,EFCAB7,aoi,-1.20438,0.228441
ENSG00000116652.6,63548860,DLEU2L,aoi,-0.19395,0.846215
ENSG00000079739.15,63626761,PGM1,aoi,-1.09129,0.275144
ENSG00000264470.1,64579886,MIR4794,aoi,-0.06562,0.947681
ENSG00000162434.11,64899867,JAK1,aoi,0.24,0.81033
ENSG00000226891.7,64987358,LINC01359,aoi,-0.27956,0.779819
ENSG00000234496.2,65092504,MRPS21P1,aoi,-0.19463,0.845683
ENSG00000116675.15,65332044,DNAJC6,aoi,0.13124,0.895586
ENSG00000213625.8,65428298,LEPROT,aoi,0.63238,0.527141
ENSG00000237852.1,65490298,RP4-630A11.3,aoi,1.917,0.055238
